synth/remap	zone7_v11	no enumerable values
synth/remap	zone7_v12	no enumerable values
synth/remap	zone7_v13	no enumerable values
synth/remap	zone7_v14	no enumerable values
synth/remap	zone7_v15	no enumerable values
synth/remap	zone7_v16	no enumerable values
synth/remap	zone7_v17	no enumerable values
synth/remap	zone7_v18	no enumerable values
synth/remap	zone7_v19	no enumerable values
synth/remap	zone7_v20	no enumerable values
synth/remap	zone7_v21	no enumerable values
synth/remap	zone7_v22	no enumerable values
synth/remap	zone7_v23	no enumerable values
synth/remap	zone7_v24	no enumerable values
synth/remap	zone7_v25	no enumerable values
synth/remap	zone7_v26	no enumerable values
synth/remap	zone7_v27	no enumerable values
synth/remap	zone7_v28	no enumerable values
synth/remap	zone7_v29	no enumerable values
synth/remap	zone7_v30	no enumerable values
synth/remap	zone7_v31	no enumerable values
synth/roll	color	type color not swept
synth/sacredGeometry	fgColor	type color not swept
synth/sacredGeometry	bgColor	type color not swept
synth/solid	color	type color not swept
synth/subdivide	tex	type surface not swept
synth3d/cellularAutomata3d	source	no enumerable values
synth3d/cellularAutomata3d	geoSource	no enumerable values
synth3d/heightmap3d	-	no base program
synth3d/reactionDiffusion3d	source	no enumerable values
synth3d/reactionDiffusion3d	geoSource	no enumerable values
